date,open,high,low,close,volume
2023-11-29,51800,52200,51500,51700,1022798
2023-11-30,51700,52600,51500,52400,1465252
2023-12-01,52600,52800,51900,51900,453496
2023-12-04,52400,52400,51500,51500,574587
2023-12-05,51600,51900,51000,51500,676977
2023-12-06,51700,52400,51600,52000,720118
2023-12-07,52000,52100,51200,51400,658776
2023-12-08,51800,52300,51600,51800,609937
2023-12-11,52300,52300,51200,51600,611980
2023-12-12,52000,52400,51800,52100,877118
2023-12-13,52200,52400,51400,51500,859580
2023-12-14,51900,52400,51900,51900,1733967
2023-12-15,52700,53400,52600,53200,1396078
2023-12-18,52700,52800,52300,52500,522284
2023-12-19,52200,52600,52000,52000,698259
2023-12-20,52500,53500,52400,53200,1349165
2023-12-21,53100,53500,52700,53100,679181
2023-12-22,53300,53400,52400,52500,771841
2023-12-26,52800,52900,52300,52500,1042708
2023-12-27,52100,52700,52100,52300,744008
2023-12-28,52700,54100,52500,54100,1211536
2024-01-02,53300,53800,52700,53600,811158
2024-01-03,53200,53600,52600,52600,689245
2024-01-04,52100,52400,51700,51700,755382
2024-01-05,51600,51700,51100,51300,569782
2024-01-08,51700,52500,51500,52200,539904
2024-01-09,52800,52900,52100,52400,470134
2024-01-10,51600,52100,51300,51300,4539715
2024-01-11,51500,52200,51000,51000,1704375
2024-01-12,51200,51400,50600,51000,1169346
2024-01-15,51000,51800,50900,51600,708782
2024-01-16,51200,51500,50800,51100,736825
2024-01-17,50800,51300,49750,49800,1340792
2024-01-18,49450,49700,49200,49400,873664
2024-01-19,49500,49750,48900,49500,860502
2024-01-22,49100,49850,49100,49300,1063329
2024-01-23,50300,51500,50000,51400,1800015
2024-01-24,51400,53000,51000,52100,1825246
2024-01-25,51700,52900,51600,52900,1478934
2024-01-26,52500,53900,52500,53800,1997168
2024-01-29,53900,56000,53300,55600,2107798
2024-01-30,55900,56700,55100,55900,1842740
2024-01-31,55100,57000,55000,56600,1343293
2024-02-01,58700,61500,57700,61300,4269503
2024-02-02,62400,66500,61500,66300,5492430
2024-02-05,65000,65600,61500,62700,4587829
2024-02-06,62100,64400,61700,63100,2056719
2024-02-07,62500,66400,62100,64700,2483851
2024-02-08,65400,67600,65000,67600,2402421
2024-02-13,70100,71100,67900,69700,2716168
2024-02-14,67900,68500,66500,67300,1484617
2024-02-15,66000,66700,65000,65100,7779512
2024-02-16,65600,67700,64700,67700,2072109
2024-02-19,67800,69900,67800,68800,1838345
2024-02-20,69000,69300,65300,67900,1717155
2024-02-21,65900,67200,64100,65100,2802649
2024-02-22,64400,65600,63100,64900,2438017
2024-02-23,65000,66600,64500,65800,1813624
2024-02-26,64200,64800,59700,62500,2648251
2024-02-27,62000,63200,61500,62400,1643919
2024-02-28,62000,62900,60900,62300,1588795
2024-02-29,61900,64200,61900,63500,3356139
2024-03-04,65700,69500,64000,69000,4010440
2024-03-05,70500,72900,69500,69500,3649003
2024-03-06,70000,70500,68100,69800,1954067
2024-03-07,69000,71600,68900,71200,2090836
2024-03-08,70500,71300,69600,70900,1777459
2024-03-11,70100,71200,69200,70700,1416572
2024-03-12,71300,74500,70900,73200,2220086
2024-03-13,73900,78500,73500,77500,3013824
2024-03-14,75900,78600,75500,78600,2287531
2024-03-15,75500,77000,74800,76200,4331136
2024-03-18,74400,75100,71500,74400,2045651
2024-03-19,73300,74100,72300,72500,1542773
2024-03-20,73900,76500,73300,73800,2289677
2024-03-21,73600,76800,73600,76100,1926427
2024-03-22,75000,76000,74300,74900,1244910
2024-03-25,74200,75100,71000,72000,2053367
2024-03-26,72300,74400,71800,71800,1711871
2024-03-27,71700,72000,68700,69000,2106983
2024-03-28,70000,70900,69500,70300,1618747
2024-03-29,71300,71800,69500,69500,1004163
2024-04-01,69100,70000,68000,68400,739530
2024-04-02,67500,70000,67100,68900,1333450
2024-04-03,68900,69300,67300,67300,1515589
2024-04-04,68100,70600,67700,69500,1134908
2024-04-05,68400,70000,68400,69100,859793
2024-04-08,68900,70700,68700,69300,813994
2024-04-09,70700,70700,69000,69100,718818
2024-04-11,64500,69200,64500,68300,2899225
2024-04-12,67400,67400,65400,66300,1761052
2024-04-15,66200,66900,64200,66200,1368363
2024-04-16,65300,65600,63600,64400,1391662
2024-04-17,64400,65100,63000,63100,1023648
2024-04-18,63500,64800,63100,64000,1298020
2024-04-19,63300,63900,62000,63700,973239
2024-04-22,65700,70200,65700,69500,1586956
2024-04-23,70500,73200,69800,70200,2285085
2024-04-24,69900,71600,68700,68900,997947
2024-04-25,68300,70600,68200,69300,745906
2024-04-26,73000,76900,72000,76000,2421484
2024-04-29,74100,78000,74000,76600,1741772
2024-04-30,76000,76800,74200,75600,1776194
2024-05-02,73500,75100,71900,72300,1513058
2024-05-03,73200,75200,73000,73700,934829
2024-05-07,73200,75300,73000,73900,1154827
2024-05-08,74500,77900,74300,77700,1562656
2024-05-09,76600,77800,76000,76600,1476710
2024-05-10,77500,81300,76700,79300,1559192
2024-05-13,79900,83300,79900,81600,1874188
2024-05-14,80000,80700,78300,79600,1337168
2024-05-16,77500,83300,77500,81000,2083221
2024-05-17,79800,80900,79500,80100,1221504
2024-05-20,80000,83400,80000,81600,1065223
2024-05-21,80500,82400,80400,81600,716670
2024-05-22,81600,82200,79100,79100,917205
2024-05-23,78000,79000,76900,77300,925094
2024-05-24,76100,77100,75500,76900,925189
2024-05-27,76900,78200,76000,76300,929166
2024-05-28,75800,77300,75600,77100,832984
2024-05-29,76300,79700,76200,78100,1356462
2024-05-30,78800,80500,77800,78700,1263670
2024-05-31,79900,81500,78700,79400,3330077
2024-06-03,78900,80000,78500,79300,769784
2024-06-04,78600,79300,76900,77600,1025937
2024-06-05,77600,78200,75800,77400,807918
2024-06-07,78900,80200,77200,79600,1168578
2024-06-10,77900,79700,77400,78400,679182
2024-06-11,79200,79900,78400,78400,753820
2024-06-12,77700,79400,77200,79100,694678
2024-06-13,80300,81900,80100,81000,2214075
2024-06-14,80400,81300,79500,80900,1578329
2024-06-17,79600,80500,78000,78300,955490
2024-06-18,79000,79300,77300,77400,1034489
2024-06-19,77800,78900,77500,78900,666484
2024-06-20,78800,81100,78600,80800,804224
2024-06-21,80000,80900,78600,78600,2545856
2024-06-24,78900,80500,78800,80000,1039625
2024-06-25,80600,80600,78800,79000,1164822
2024-06-26,78300,79500,77200,78900,1037746
2024-06-27,78200,79000,77300,78500,786044
2024-06-28,79300,79900,78200,78500,1017673
2024-07-01,79600,80000,78700,79600,816331
2024-07-02,79900,85000,79300,83200,3164153
2024-07-03,84300,88900,83600,84400,2271584
2024-07-04,83700,88300,83000,85900,1718537
2024-07-05,87300,90000,86600,88200,1333089
2024-07-08,88200,88700,86900,86900,777731
2024-07-09,86000,87100,83000,85200,1492712
2024-07-10,85500,85700,83600,83600,1479668
2024-07-11,84500,86300,84500,85400,1583831
2024-07-12,85700,87800,85400,87000,1301388
2024-07-15,87100,87100,84700,85700,991529
2024-07-16,85300,86200,83900,84100,1271447
2024-07-17,84300,84900,83500,84100,1098955
2024-07-18,84000,84600,83300,84400,1037570
2024-07-19,83100,85500,82500,84800,850800
2024-07-22,84400,87000,83800,86500,1319996
2024-07-23,87200,89600,86200,88300,1398881
2024-07-24,89400,90500,84400,84600,2808718
2024-07-25,84300,85500,83500,84000,1451918
2024-07-26,85100,88800,84900,87900,2209948
2024-07-29,87900,92400,87600,90800,1806488
2024-07-30,89900,90300,89000,89300,781624
2024-07-31,89000,89800,86800,87900,1370202
2024-08-01,87900,89700,87500,88300,806043
2024-08-02,85800,86100,82700,83200,2370247
2024-08-05,77400,81000,74000,76800,3229646
2024-08-06,80700,81500,78300,79500,2202223
2024-08-07,78000,82600,77500,81600,1436105
2024-08-08,81100,82900,80300,82200,1242772
2024-08-09,81600,83000,80600,81900,1297096
2024-08-12,82300,82800,81700,82500,683989
2024-08-13,82500,85400,82100,84600,784938
2024-08-14,84800,85600,84000,84400,595092
2024-08-16,85700,86100,84000,84000,899404
2024-08-19,84200,87900,84100,87000,1260645
2024-08-20,88300,90000,87500,89900,1093077
2024-08-21,89600,89600,86900,87200,873607
2024-08-22,86800,87400,85500,86500,998023
2024-08-23,86200,87400,84600,86800,1160977
2024-08-26,86800,88700,86600,88500,891857
2024-08-27,88900,89100,86700,87800,930644
2024-08-28,87100,87600,85000,85800,878160
2024-08-29,86600,88200,85600,86900,849901
2024-08-30,88000,88000,85800,85900,1403895
2024-09-02,86200,88300,84800,87700,916239
2024-09-03,87500,88100,86300,87000,755608
2024-09-04,87400,87400,83600,83600,1306948
2024-09-05,85900,86000,83500,84600,987121
2024-09-06,84000,84400,82500,83300,707380
2024-09-09,83300,83800,80900,82300,1158796
2024-09-10,82700,83100,81300,82900,763767
2024-09-11,84000,84000,76500,77900,2282558
2024-09-12,77900,78400,77300,78100,1757830
2024-09-13,79000,81800,79000,81800,1322846
2024-09-19,85800,85900,81100,82500,1614329
2024-09-20,83700,84200,83100,83600,1677519
2024-09-23,84600,85100,83500,85000,969396
2024-09-24,85300,85600,80100,82000,1978745
2024-09-25,80200,80400,77800,78100,3427154
2024-09-26,78700,81200,78500,81200,2264928
2024-09-27,83100,85200,82700,83800,2341375
2024-09-30,84900,85000,80900,80900,1467861
2024-10-02,80100,82900,80000,81300,2027234
2024-10-04,82000,82800,80100,82600,2403619
2024-10-07,83000,87900,82300,87300,1986369
2024-10-08,86500,89400,85900,89400,1795315
2024-10-10,89000,89900,87900,89900,1591581
2024-10-11,89900,91600,89500,91300,1111764
2024-10-14,92500,98500,92000,97200,2152870
2024-10-15,96000,97300,94700,95600,1444714
2024-10-16,94000,96900,93800,95400,1271538
2024-10-17,96600,96900,93400,93700,1131737
2024-10-18,93000,95100,93000,94400,989872
2024-10-21,94400,95500,93200,93500,720873
2024-10-22,94000,94300,92000,94100,1286275
2024-10-23,93200,97100,93000,94300,1230148
2024-10-24,93800,94800,92800,93200,1385779
2024-10-25,96000,103900,96000,101000,2817885
2024-10-28,99400,100000,95100,96200,1705566
2024-10-29,95100,96800,95000,95500,1179880
2024-10-30,94300,95000,93200,93900,1562965
2024-10-31,92900,93500,90300,90300,1782221
2024-11-01,90000,92100,89300,91800,1326034
2024-11-04,90800,91400,89400,90700,1504567
2024-11-05,90700,91600,89600,91000,697055
2024-11-06,91500,94600,90100,94000,1428650
2024-11-07,94900,95900,93400,94100,1231416
2024-11-08,93900,94000,92000,93200,728843
2024-11-11,91200,93300,90900,92700,566036
2024-11-12,93000,94700,91700,92700,1169111
2024-11-13,93000,93100,90500,91000,936983
2024-11-14,93000,93000,89500,89900,1354571
2024-11-15,90400,90800,88300,89600,892333
2024-11-18,88100,91500,87800,91500,1229857
2024-11-19,91500,92500,90800,91600,1171217
2024-11-20,93500,96100,92600,95600,1580374
2024-11-21,96100,97800,94300,97300,1412784
2024-11-22,98000,99100,97900,98400,1191767
2024-11-25,99000,99200,97100,98000,2293010
2024-11-26,96400,97100,94700,96000,947603
2024-11-27,98800,100500,96900,98700,1155849
2024-11-28,98000,98600,97000,98000,738242
2024-11-29,96000,97200,95000,96200,1318240
2024-12-02,96800,97200,95900,96400,719699
2024-12-03,97400,101900,97400,101200,1757811
2024-12-04,97300,98400,94000,95400,4313125
2024-12-05,92700,94200,85800,85800,4884267
2024-12-06,84900,88600,84900,85300,4850007
2024-12-09,83600,84600,81600,82800,3374866
2024-12-10,84000,85300,83300,83300,2698978
2024-12-11,82800,85800,82400,85400,2355417
2024-12-12,87000,88300,86000,87000,2791966
2024-12-13,86100,87000,85000,85000,1694440
2024-12-16,85400,86500,84200,84600,1548003
2024-12-17,83900,85800,83700,84400,1655078
2024-12-18,84500,87600,84500,87200,1285529
2024-12-19,85600,87900,85100,86900,1653800
2024-12-20,86100,86800,85300,85800,1727765
2024-12-23,86300,87800,85900,87000,720602
2024-12-24,87300,87600,86000,86500,417559
2024-12-26,86600,86700,84800,85500,915276
2024-12-27,84500,85500,84300,85000,790972
2024-12-30,85000,85700,82900,82900,789952
